מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
"144675-ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,6,198,181,11.3
144683-עירוני א',מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,דביר שלומי,7,234,216,9.1
144691-ישיבת נעם,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,4,80,1,1
"144717-אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,סגלית נחום,5,131,60,4.5
"144741-ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שרית סנואני,6,184,163,6.7
"144758-ישיבת בנ""ע פסגת זאב",ירושלים,העיר ירושלים,יהודי,שרה טוויל,רענן-יוסף שרמן,2,45,19,3.2
"144766-ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ירושלים,יהודי,תמר אודס,איתמר ליברמן,4,102,60,11.2
148056-תיכון בית צפאפא,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,8,190,58,12.6
148080-מקיף אבו גוש,אבו גוש,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,4,78,68,8.2
148155-תיכון שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,6,192,188,7.6
148189-טרה סנטה גבשה בנים,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,איברהים פלתס,2,42,0,0
148197-מקיף בית חנינה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,5,130,0,0
148247-מקיף שש שנתי אלטור לבנים,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,6,146,40,2.3
148254-שועפט בנות ב',ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,4,114,23,2.8
148262-אלעלא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,2,52,0,0
148288-כפר עקב,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,3,119,2,1.5
160242-מקיף קשת,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורית צילה סומר,3,67,48,5.7
160259-ליבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ענבל ישראלי,3,57,32,3.2
160416-רעות קהילה דתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,5,108,89,18.1
160432-ברנקו וייס מקיף בית שמש,בית שמש,ירושלים,יהודי,ציפי יעקב,שמעון ויס,7,159,127,6.8
160473-אלוואדי למצוינות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,3,83,43,3.3
"160549-אמי""ת איתן",מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,4,85,37,11.9
160598-ארץ הצבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,2,32,4,1.3
160739-מנזר רוזרי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,הודה קיקיה,3,120,0,0
"165852-ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,7,198,165,4.6
